date,value
1970-01-01,27389920526.409
1971-01-01,30393964235.322
1972-01-01,35224300664.173
1973-01-01,47662608581.153
1974-01-01,65195675409.238
1975-01-01,65457803951.022
1976-01-01,67695017789.794
1977-01-01,76125178058.801
1978-01-01,89566555275.529
1979-01-01,118453824648.069
1980-01-01,137865364779.664
1981-01-01,125051769129.008
1982-01-01,122056544037.813
1983-01-01,121266521124.686
1984-01-01,127208246871.541
1985-01-01,130884813053.543
1986-01-01,152837916399.556
1987-01-01,188256722008.28
1988-01-01,229165049372.654
1989-01-01,241223349699.41
1990-01-01,272305420171.213
1991-01-01,259518085930.657
1992-01-01,275718349814.034
1993-01-01,264353808176.044
1994-01-01,294192666435.981
1995-01-01,338932941742.438
1996-01-01,367426424674.1
1997-01-01,393247868665.569
1998-01-01,411742771236.223
1999-01-01,427383018466.53
2000-01-01,447349382247.512
2001-01-01,449862161792.544
2002-01-01,479741915500.557
2003-01-01,537782512684.243
2004-01-01,638560547804.753
2005-01-01,696298473631.739
2006-01-01,795798731646.283
2007-01-01,847943227407.182
2008-01-01,853025348539.546
2009-01-01,675982206292.998
2010-01-01,753573183918.4
2011-01-01,854970496149.156
2012-01-01,852914569540.252
2013-01-01,880651426263.746
2014-01-01,933892268697.469
2015-01-01,859405523537.247
2016-01-01,826251045549.893
2017-01-01,862127545422.685
2018-01-01,943023367292.064
2019-01-01,939187686025.376
2020-01-01,781063244392.686
2021-01-01,938462244652.021
2022-01-01,1111593852701.09
