date,value
1991-01-01,64.222
1992-01-01,64.509
1993-01-01,63.805
1994-01-01,63.881
1995-01-01,63.763
1996-01-01,63.62
1997-01-01,63.235
1998-01-01,63.276
1999-01-01,62.945
2000-01-01,63.64
2001-01-01,63.048
2002-01-01,61.625
2003-01-01,61.296
2004-01-01,60.876
2005-01-01,59.287
2006-01-01,59.362
2007-01-01,60.892
2008-01-01,61.585
2009-01-01,62.014
2010-01-01,62.845
2011-01-01,63.464
2012-01-01,64.406
2013-01-01,63.863
2014-01-01,63.922
2015-01-01,63.577
2016-01-01,63.459
2017-01-01,64.169
2018-01-01,64.68
2019-01-01,65.79
2020-01-01,64.535
2021-01-01,63.347
2022-01-01,64.246
