date,value
1967-01-01,497382748.745
1968-01-01,769173673.293
1969-01-01,751533742.331
1970-01-01,1175342465.753
1971-01-01,1345889842.725
1972-01-01,1816385542.169
1973-01-01,3263373493.976
1974-01-01,7482168674.699
1975-01-01,6868915662.667
1976-01-01,8264096385.562
1977-01-01,10760963855.448
1978-01-01,11251894892.853
1979-01-01,15453888931.576
1980-01-01,22088390908.633
1981-01-01,23629067635.089
1982-01-01,20176590282.752
1983-01-01,22488286936.948
1984-01-01,23177770004.306
1985-01-01,20279853770.108
1986-01-01,16387068862.055
1987-01-01,18661070325.96
1988-01-01,21110162561.652
1989-01-01,24640067882.497
1990-01-01,28982531189.663
1991-01-01,33063806609.367
1992-01-01,38801726176.401
1993-01-01,42274397859.499
1994-01-01,46896633113.502
1995-01-01,53185312942.039
1996-01-01,58717201041.711
1997-01-01,60106038403.579
1998-01-01,50555726234.55
1999-01-01,49720260589.808
2000-01-01,67621169165.827
2001-01-01,62625875833.908
2002-01-01,63956798804.501
2003-01-01,71553141044.989
2004-01-01,82744351781.017
2005-01-01,97387627569.341
2006-01-01,113143425291.916
2007-01-01,127226102177.005
2008-01-01,152090401421.802
2009-01-01,130357798591.185
2010-01-01,183480562954.593
2011-01-01,235095129124.053
2012-01-01,225744403275.759
2013-01-01,218308408827.835
2014-01-01,210820082826.541
2015-01-01,182158298808.724
2016-01-01,177886012744.141
2017-01-01,204924485910.855
2018-01-01,218905647879.148
2019-01-01,208057763665.937
2020-01-01,183546577019.67
2021-01-01,254008548670.859
2022-01-01,323079953652.467
