date,value
1967-01-01,955991035.894
1968-01-01,1102291012.275
1969-01-01,1236196319.018
1970-01-01,1449315068.493
1971-01-01,1553301761.83
1972-01-01,2078072289.157
1973-01-01,3170120481.928
1974-01-01,5526987951.807
1975-01-01,6693975903.631
1976-01-01,7764096385.561
1977-01-01,9198072289.179
1978-01-01,10727293588.916
1979-01-01,12125156533.216
1980-01-01,16076492698.556
1981-01-01,21847220125.606
1982-01-01,23709141551.796
1983-01-01,23354265855.563
1984-01-01,19342945136.652
1985-01-01,17860217183.819
1986-01-01,16401727045.018
1987-01-01,17006296447.336
1988-01-01,18725515165.098
1989-01-01,21718472101.114
1990-01-01,27157275252.784
1991-01-01,30891188671.151
1992-01-01,34720875699.535
1993-01-01,37555937063.105
1994-01-01,44869883142.427
1995-01-01,55882279823.789
1996-01-01,60116979037.698
1997-01-01,60700151259.036
1998-01-01,41249712041.612
1999-01-01,38402067922.345
2000-01-01,50264686469.791
2001-01-01,49355195402.143
2002-01-01,51638437160.684
2003-01-01,54323622341.489
2004-01-01,70744690513.643
2005-01-01,85533801157.338
2006-01-01,93411754079.18
2007-01-01,109755093425.227
2008-01-01,146706628549.322
2009-01-01,115216544854.096
2010-01-01,169158027604.218
2011-01-01,212996885258.748
2012-01-01,229362102387.66
2013-01-01,225519356299.674
2014-01-01,217485215765.032
2015-01-01,178863652312.467
2016-01-01,170835000829.546
2017-01-01,194777319197.29
2018-01-01,230045612377.276
2019-01-01,213034646341.673
2020-01-01,165646843304.004
2021-01-01,222939963033.749
2022-01-01,275703237972.223
