date,value
1960-01-01,39.59
1961-01-01,13.692
1962-01-01,131.398
1963-01-01,145.911
1964-01-01,108.995
1965-01-01,306.763
1966-01-01,1136.254
1967-01-01,106.0
1968-01-01,128.843
1969-01-01,15.48
1970-01-01,12.399
1971-01-01,4.234
1972-01-01,6.522
1973-01-01,31.042
1974-01-01,40.492
1975-01-01,19.166
1976-01-01,19.829
1977-01-01,11.052
1978-01-01,8.113
1979-01-01,16.233
1980-01-01,18.035
1981-01-01,12.266
1982-01-01,9.445
1983-01-01,11.8
1984-01-01,10.455
1985-01-01,4.725
1986-01-01,5.823
1987-01-01,9.279
1988-01-01,8.045
1989-01-01,6.416
1990-01-01,7.819
1991-01-01,9.419
1992-01-01,7.524
1993-01-01,9.672
1994-01-01,8.532
1995-01-01,9.42
1996-01-01,7.973
1997-01-01,6.226
1998-01-01,58.451
1999-01-01,20.478
2000-01-01,3.689
2001-01-01,11.5
2002-01-01,11.9
2003-01-01,6.757
2004-01-01,6.064
2005-01-01,10.453
2006-01-01,13.109
2007-01-01,6.407
2008-01-01,10.227
2009-01-01,4.386
2010-01-01,5.134
2011-01-01,5.356
2012-01-01,4.279
2013-01-01,6.413
2014-01-01,6.395
2015-01-01,6.363
2016-01-01,3.526
2017-01-01,3.809
2018-01-01,3.198
2019-01-01,3.031
2020-01-01,1.921
2021-01-01,1.56
2022-01-01,4.209
