date,value
1991-01-01,2.62
1992-01-01,2.73
1993-01-01,2.78
1994-01-01,4.37
1995-01-01,4.597
1996-01-01,4.86
1997-01-01,4.68
1998-01-01,5.46
1999-01-01,6.36
2000-01-01,6.08
2001-01-01,6.08
2002-01-01,6.6
2003-01-01,6.66
2004-01-01,7.3
2005-01-01,7.94
2006-01-01,7.55
2007-01-01,8.06
2008-01-01,7.21
2009-01-01,6.11
2010-01-01,5.61
2011-01-01,5.15
2012-01-01,4.47
2013-01-01,4.34
2014-01-01,4.05
2015-01-01,4.51
2016-01-01,4.3
2017-01-01,3.78
2018-01-01,4.39
2019-01-01,3.59
2020-01-01,4.25
2021-01-01,3.83
2022-01-01,3.554
