date,value
1960-01-01,2348.43
1961-01-01,2522.309
1962-01-01,2646.981
1963-01-01,2753.708
1964-01-01,2901.087
1965-01-01,3296.423
1966-01-01,3569.706
1967-01-01,3859.757
1968-01-01,4293.817
1969-01-01,4822.203
1970-01-01,5197.606
1971-01-01,5743.416
1972-01-01,6393.165
1973-01-01,6675.966
1974-01-01,6860.918
1975-01-01,6638.432
1976-01-01,7622.345
1977-01-01,7190.912
1978-01-01,6073.007
1979-01-01,5169.024
1980-01-01,3914.121
1981-01-01,3512.806
1982-01-01,4120.734
1983-01-01,4418.727
1984-01-01,3959.315
1985-01-01,3893.51
1986-01-01,3394.255
1987-01-01,3279.251
1988-01-01,2986.998
1989-01-01,3079.579
1990-01-01,3363.51
1991-01-01,3647.571
1992-01-01,3680.218
1993-01-01,3602.815
1994-01-01,3528.031
1995-01-01,3564.662
1996-01-01,3741.581
1997-01-01,3738.567
1998-01-01,3757.343
1999-01-01,3772.356
2000-01-01,3927.709
2001-01-01,3953.48
2002-01-01,4231.479
2003-01-01,4554.594
2004-01-01,4675.941
2005-01-01,4748.03
2006-01-01,4908.96
2007-01-01,5232.704
2008-01-01,5174.355
2009-01-01,5155.857
2010-01-01,5378.718
2011-01-01,5450.938
2012-01-01,5180.086
2013-01-01,5027.485
2014-01-01,5178.901
2015-01-01,4990.937
2016-01-01,5332.101
2017-01-01,5401.456
2018-01-01,5211.112
2019-01-01,5017.117
2020-01-01,5141.085
2021-01-01,5344.958
2022-01-01,5453.005
