date,value
1960-01-01,730164937.814
1961-01-01,702251187.676
1962-01-01,642016253.168
1963-01-01,614102503.031
1964-01-01,878548556.967
1965-01-01,1021055597.144
1966-01-01,1195883821.691
1967-01-01,1485305336.278
1968-01-01,1768850271.887
1969-01-01,2050926062.753
1970-01-01,2327125274.643
1971-01-01,2928005764.554
1972-01-01,3689022456.105
1973-01-01,5594486011.584
1974-01-01,11105780993.88
1975-01-01,18318369217.639
1976-01-01,19212061650.318
1977-01-01,23448812229.399
1978-01-01,17330359279.22
1979-01-01,14516475276.598
1980-01-01,27125991304.742
1981-01-01,28082907605.863
1982-01-01,26415543502.674
1983-01-01,37834565739.212
1984-01-01,26971526131.836
1985-01-01,25746070824.82
1986-01-01,21773514753.742
1987-01-01,11695655290.9
1988-01-01,17595820159.041
1989-01-01,21819187475.77
1990-01-01,29707835777.732
1993-01-01,13150789256.817
1994-01-01,9571397629.152
1995-01-01,12985745383.977
1996-01-01,18092098185.085
1997-01-01,17511229163.519
1998-01-01,18245137476.606
1999-01-01,17752833899.808
2000-01-01,21688407084.278
2001-01-01,26939208540.986
2002-01-01,30560192008.042
2003-01-01,40000915038.933
2004-01-01,49500478448.47
2005-01-01,54596877011.562
2006-01-01,62043181819.396
2007-01-01,73628015382.746
2008-01-01,89280163310.323
2009-01-01,87393787041.709
2010-01-01,94299456999.529
2011-01-01,101972675215.375
2012-01-01,139202134963.97
2013-01-01,107936629601.154
2014-01-01,103681647165.469
2015-01-01,84507234683.958
2016-01-01,88046990400.427
2017-01-01,107103317188.196
2018-01-01,92360276171.876
2019-01-01,77352552129.212
2020-01-01,58460830560.245
2021-01-01,77330090105.536
2022-01-01,69453692810.359
