date,value
1960-01-01,9.822
1961-01-01,3.163
1962-01-01,0.721
1963-01-01,0.372
1964-01-01,3.814
1965-01-01,2.154
1966-01-01,-0.388
1967-01-01,1.598
1968-01-01,0.69
1969-01-01,3.593
1970-01-01,1.667
1971-01-01,4.195
1972-01-01,6.398
1973-01-01,9.819
1974-01-01,14.249
1975-01-01,12.879
1976-01-01,11.256
1977-01-01,27.288
1978-01-01,11.722
1979-01-01,10.487
1980-01-01,20.644
1981-01-01,24.204
1982-01-01,18.69
1983-01-01,19.74
1984-01-01,12.54
1985-01-01,4.389
1986-01-01,18.429
1987-01-01,28.571
1988-01-01,28.671
1989-01-01,22.35
1990-01-01,7.628
1991-01-01,17.129
1992-01-01,25.808
1993-01-01,21.203
1994-01-01,31.447
1995-01-01,49.656
1996-01-01,28.937
1997-01-01,17.349
1998-01-01,17.866
1999-01-01,20.071
2000-01-01,14.477
2001-01-01,11.274
2002-01-01,14.336
2003-01-01,16.468
2004-01-01,14.762
2005-01-01,13.433
2006-01-01,10.016
2007-01-01,17.341
2008-01-01,25.411
2009-01-01,13.552
2010-01-01,10.089
2011-01-01,26.293
2012-01-01,27.257
2013-01-01,36.603
2014-01-01,16.607
2015-01-01,12.485
2016-01-01,7.245
2017-01-01,8.045
2018-01-01,18.014
2019-01-01,39.907
2020-01-01,30.594
2021-01-01,43.389
