date,value
1991-01-01,11.1
1992-01-01,10.843
1993-01-01,10.451
1994-01-01,10.064
1995-01-01,9.574
1996-01-01,9.1
1997-01-01,9.795
1998-01-01,10.396
1999-01-01,11.042
2000-01-01,11.582
2001-01-01,12.298
2002-01-01,12.8
2003-01-01,11.503
2004-01-01,10.3
2005-01-01,11.81
2006-01-01,11.52
2007-01-01,10.77
2008-01-01,10.63
2009-01-01,12.11
2010-01-01,13.68
2011-01-01,12.49
2012-01-01,12.27
2013-01-01,10.6
2014-01-01,10.68
2015-01-01,11.17
2016-01-01,12.62
2017-01-01,12.23
2018-01-01,12.19
2019-01-01,10.74
2020-01-01,9.69
2021-01-01,10.818
2022-01-01,10.964
