date,value
1991-01-01,62.46
1992-01-01,62.592
1993-01-01,62.205
1994-01-01,61.756
1995-01-01,61.371
1996-01-01,61.341
1997-01-01,61.534
1998-01-01,60.705
1999-01-01,59.944
2000-01-01,59.474
2001-01-01,58.878
2002-01-01,57.93
2003-01-01,57.58
2004-01-01,57.562
2005-01-01,57.731
2006-01-01,57.888
2007-01-01,58.041
2008-01-01,57.754
2009-01-01,56.825
2010-01-01,56.541
2011-01-01,56.554
2012-01-01,56.437
2013-01-01,56.856
2014-01-01,57.306
2015-01-01,57.483
2016-01-01,58.112
2017-01-01,58.736
2018-01-01,59.932
2019-01-01,60.553
2020-01-01,60.264
2021-01-01,60.361
2022-01-01,60.689
