date,value
1970-01-01,19572635761.037
1971-01-01,20867004497.119
1972-01-01,25436329221.897
1973-01-01,41807602700.355
1974-01-01,66503972918.781
1975-01-01,64302596002.371
1976-01-01,72270446349.5
1977-01-01,79894824196.69
1978-01-01,91906341383.889
1979-01-01,127175652405.242
1980-01-01,155866940596.987
1981-01-01,164658502209.071
1982-01-01,151713528632.924
1983-01-01,146249657911.901
1984-01-01,157511814670.631
1985-01-01,149721320696.418
1986-01-01,150490298372.621
1987-01-01,181576008987.987
1988-01-01,233782367247.141
1989-01-01,267623354572.706
1990-01-01,295830930469.465
1991-01-01,297072156785.113
1992-01-01,298544034277.834
1993-01-01,308939604710.206
1994-01-01,348440118732.942
1995-01-01,420000815972.181
1996-01-01,440058973361.813
1997-01-01,422282302516.853
1998-01-01,353663295254.083
1999-01-01,385717956007.984
2000-01-01,452064907168.265
2001-01-01,414845195627.157
2002-01-01,401204998167.587
2003-01-01,445643545385.014
2004-01-01,532277504089.913
2005-01-01,599781097881.781
2006-01-01,660752835926.069
2007-01-01,711118389339.143
2008-01-01,862719006996.956
2009-01-01,633184178598.826
2010-01-01,782080174983.161
2011-01-01,961182364174.189
2012-01-01,1007099152148.38
2013-01-01,948362884511.706
2014-01-01,980024678767.845
2015-01-01,799671850411.581
2016-01-01,763174802438.923
2017-01-01,829947425329.105
2018-01-01,922228472388.616
2019-01-01,908591904960.75
2020-01-01,798645128766.751
2021-01-01,937984913930.356
