date,value
1960-01-01,3.575
1961-01-01,5.368
1962-01-01,6.835
1963-01-01,6.707
1964-01-01,3.8
1965-01-01,6.656
1966-01-01,5.041
1967-01-01,3.99
1968-01-01,5.339
1969-01-01,5.25
1970-01-01,6.924
1971-01-01,6.395
1972-01-01,4.844
1973-01-01,11.609
1974-01-01,23.222
1975-01-01,11.731
1976-01-01,9.374
1977-01-01,8.162
1978-01-01,4.21
1979-01-01,3.702
1980-01-01,7.779
1981-01-01,4.912
1982-01-01,2.741
1983-01-01,1.9
1984-01-01,2.262
1985-01-01,2.032
1986-01-01,0.596
1987-01-01,0.126
1988-01-01,0.679
1989-01-01,2.272
1990-01-01,3.079
1991-01-01,3.251
1992-01-01,1.76
1993-01-01,1.243
1994-01-01,0.695
1995-01-01,-0.128
1996-01-01,0.137
1997-01-01,1.748
1998-01-01,0.662
1999-01-01,-0.341
2000-01-01,-0.677
2001-01-01,-0.74
2002-01-01,-0.923
2003-01-01,-0.257
2004-01-01,-0.009
2005-01-01,-0.283
2006-01-01,0.249
2007-01-01,0.06
2008-01-01,1.38
2009-01-01,-1.353
2010-01-01,-0.728
2011-01-01,-0.272
2012-01-01,-0.044
2013-01-01,0.335
2014-01-01,2.759
2015-01-01,0.795
2016-01-01,-0.127
2017-01-01,0.484
2018-01-01,0.989
2019-01-01,0.469
2020-01-01,-0.025
2021-01-01,-0.233
2022-01-01,2.498
