date,value
1991-01-01,2.1
1992-01-01,2.2
1993-01-01,2.5
1994-01-01,2.9
1995-01-01,3.2
1996-01-01,3.4
1997-01-01,3.4
1998-01-01,4.1
1999-01-01,4.7
2000-01-01,4.75
2001-01-01,5.02
2002-01-01,5.39
2003-01-01,5.25
2004-01-01,4.73
2005-01-01,4.45
2006-01-01,4.19
2007-01-01,3.89
2008-01-01,4.0
2009-01-01,5.07
2010-01-01,5.1
2011-01-01,4.55
2012-01-01,4.36
2013-01-01,4.04
2014-01-01,3.59
2015-01-01,3.39
2016-01-01,3.13
2017-01-01,2.82
2018-01-01,2.47
2019-01-01,2.35
2020-01-01,2.8
2021-01-01,2.8
2022-01-01,2.641
