date,value
1991-01-01,56.428
1992-01-01,56.861
1993-01-01,57.336
1994-01-01,56.73
1995-01-01,55.218
1996-01-01,56.249
1997-01-01,58.249
1998-01-01,58.272
1999-01-01,58.211
2000-01-01,58.063
2001-01-01,57.468
2002-01-01,56.787
2003-01-01,56.87
2004-01-01,57.136
2005-01-01,58.089
2006-01-01,58.813
2007-01-01,58.819
2008-01-01,58.395
2009-01-01,57.401
2010-01-01,57.269
2011-01-01,57.434
2012-01-01,58.252
2013-01-01,58.054
2014-01-01,57.587
2015-01-01,57.969
2016-01-01,58.111
2017-01-01,58.149
2018-01-01,58.506
2019-01-01,59.038
2020-01-01,53.961
2021-01-01,57.486
2022-01-01,58.967
