date,value
1960-01-01,1109119998.891
1961-01-01,1191207998.809
1962-01-01,1302503998.698
1963-01-01,1411095998.589
1964-01-01,1532719998.467
1965-01-01,1667319998.333
1966-01-01,1816951998.183
1967-01-01,1824071998.176
1968-01-01,2066335997.934
1969-01-01,2451095997.549
1970-01-01,2754439997.246
1971-01-01,2995039997.255
1972-01-01,3643193285.472
1973-01-01,4650177889.691
1974-01-01,6054255053.658
1975-01-01,6067120000.0
1976-01-01,7545490200.055
1977-01-01,8452626014.466
1978-01-01,10748168607.911
1979-01-01,15052739741.204
1980-01-01,20850892173.039
1981-01-01,26015027780.337
1982-01-01,26632512850.144
1983-01-01,28289804548.455
1984-01-01,30521848067.408
1985-01-01,28439475107.392
1986-01-01,22446895094.881
1987-01-01,27349335084.432
1988-01-01,36496678771.988
1989-01-01,42359290627.866
1990-01-01,48866115239.196
1991-01-01,51459461044.318
1992-01-01,55406056526.359
1993-01-01,61496557663.812
1994-01-01,70636149367.676
1995-01-01,86954606058.954
1996-01-01,106873584169.448
1997-01-01,121765879350.278
1998-01-01,129489620491.281
1999-01-01,147853302020.13
2000-01-01,179856655318.256
2001-01-01,171519742284.456
2002-01-01,174129964313.917
2003-01-01,177669225940.603
2004-01-01,202133946198.671
2005-01-01,230184567871.308
2006-01-01,266525093932.375
2007-01-01,289778409785.699
2008-01-01,307483113676.148
2009-01-01,244407761068.119
2010-01-01,314142075510.397
2011-01-01,366384363284.386
2012-01-01,387539729791.469
2013-01-01,398972989412.378
2014-01-01,419249264507.295
2015-01-01,404586804908.212
2016-01-01,399497244159.564
2017-01-01,436348550789.852
2018-01-01,479886493648.998
2019-01-01,492645824532.929
2020-01-01,430674553144.683
2021-01-01,523160540110.142
2022-01-01,613108037769.503
