date,value
1960-01-01,3897.092
1961-01-01,3963.933
1962-01-01,4015.411
1963-01-01,4199.918
1964-01-01,4546.235
1965-01-01,4709.051
1966-01-01,4833.003
1967-01-01,4950.523
1968-01-01,5243.229
1969-01-01,5250.604
1970-01-01,5416.898
1971-01-01,5446.515
1972-01-01,5713.513
1973-01-01,5974.664
1974-01-01,6129.184
1975-01-01,6288.465
1976-01-01,6375.014
1977-01-01,6399.564
1978-01-01,6770.352
1979-01-01,7218.81
1980-01-01,7650.063
1981-01-01,8190.996
1982-01-01,8025.423
1983-01-01,7523.695
1984-01-01,7636.708
1985-01-01,7636.525
1986-01-01,7222.876
1987-01-01,7246.064
1988-01-01,7214.241
1989-01-01,7352.866
1990-01-01,7595.103
1991-01-01,7747.127
1992-01-01,7864.025
1993-01-01,7950.533
1994-01-01,8185.985
1995-01-01,7529.864
1996-01-01,7897.935
1997-01-01,8294.112
1998-01-01,8576.604
1999-01-01,8669.368
2000-01-01,8954.823
2001-01-01,8782.146
2002-01-01,8646.181
2003-01-01,8641.74
2004-01-01,8849.529
2005-01-01,8925.255
2006-01-01,9200.422
2007-01-01,9288.182
2008-01-01,9276.074
2009-01-01,8677.777
2010-01-01,9001.705
2011-01-01,9199.165
2012-01-01,9401.998
2013-01-01,9404.616
2014-01-01,9553.286
2015-01-01,9753.401
2016-01-01,9897.171
2017-01-01,9997.708
2018-01-01,10120.385
2019-01-01,10013.724
2020-01-01,9147.073
2021-01-01,9525.43
2022-01-01,9755.617
