date,value
1961-01-01,5.0
1962-01-01,4.664
1963-01-01,8.107
1964-01-01,11.905
1965-01-01,7.1
1966-01-01,6.096
1967-01-01,5.855
1968-01-01,9.423
1969-01-01,3.419
1970-01-01,6.502
1971-01-01,3.762
1972-01-01,8.229
1973-01-01,7.861
1974-01-01,5.777
1975-01-01,5.744
1976-01-01,4.417
1977-01-01,3.391
1978-01-01,8.957
1979-01-01,9.698
1980-01-01,8.757
1981-01-01,9.488
1982-01-01,-0.008
1983-01-01,-4.363
1984-01-01,3.487
1985-01-01,1.879
1986-01-01,-3.708
1987-01-01,2.07
1988-01-01,1.279
1989-01-01,3.655
1990-01-01,5.208
1991-01-01,4.038
1992-01-01,3.508
1993-01-01,3.069
1994-01-01,4.941
1995-01-01,-6.291
1996-01-01,6.773
1997-01-01,6.847
1998-01-01,5.164
1999-01-01,2.754
2000-01-01,4.942
2001-01-01,-0.404
2002-01-01,-0.04
2003-01-01,1.446
2004-01-01,3.921
2005-01-01,2.308
2006-01-01,4.495
2007-01-01,2.291
2008-01-01,1.144
2009-01-01,-5.286
2010-01-01,5.118
2011-01-01,3.663
2012-01-01,3.642
2013-01-01,1.354
2014-01-01,2.85
2015-01-01,3.293
2016-01-01,2.631
2017-01-01,2.113
2018-01-01,2.195
2019-01-01,-0.199
2020-01-01,-7.988
2021-01-01,4.721
2022-01-01,3.062
