date,value
1960-01-01,4.928
1961-01-01,1.609
1962-01-01,1.199
1963-01-01,0.594
1964-01-01,2.338
1965-01-01,3.568
1966-01-01,4.216
1967-01-01,3.017
1968-01-01,2.334
1969-01-01,3.367
1970-01-01,5.003
1971-01-01,5.469
1972-01-01,4.944
1973-01-01,12.082
1974-01-01,23.784
1975-01-01,14.945
1976-01-01,15.825
1977-01-01,29.064
1978-01-01,17.457
1979-01-01,18.191
1980-01-01,26.352
1981-01-01,27.934
1982-01-01,58.913
1983-01-01,101.875
1984-01-01,65.449
1985-01-01,57.748
1986-01-01,86.233
1987-01-01,131.827
1988-01-01,114.162
1989-01-01,20.008
1990-01-01,26.652
1991-01-01,22.662
1992-01-01,15.508
1993-01-01,9.751
1994-01-01,6.966
1995-01-01,34.999
1996-01-01,34.378
1997-01-01,20.626
1998-01-01,15.928
1999-01-01,16.586
2000-01-01,9.492
2001-01-01,6.368
2002-01-01,5.031
2003-01-01,4.547
2004-01-01,4.688
2005-01-01,3.988
2006-01-01,3.629
2007-01-01,3.967
2008-01-01,5.125
2009-01-01,5.297
2010-01-01,4.157
2011-01-01,3.407
2012-01-01,4.112
2013-01-01,3.806
2014-01-01,4.019
2015-01-01,2.721
2016-01-01,2.822
2017-01-01,6.041
2018-01-01,4.899
2019-01-01,3.636
2020-01-01,3.397
2021-01-01,5.689
2022-01-01,7.896
