date,value
1991-01-01,58.283
1992-01-01,58.275
1993-01-01,58.19
1994-01-01,58.129
1995-01-01,58.066
1996-01-01,58.069
1997-01-01,58.028
1998-01-01,57.982
1999-01-01,57.926
2000-01-01,57.905
2001-01-01,57.927
2002-01-01,57.985
2003-01-01,57.951
2004-01-01,57.966
2005-01-01,57.956
2006-01-01,58.001
2007-01-01,58.039
2008-01-01,58.067
2009-01-01,58.095
2010-01-01,58.111
2011-01-01,58.133
2012-01-01,55.691
2013-01-01,53.225
2014-01-01,53.671
2015-01-01,54.094
2016-01-01,54.506
2017-01-01,54.951
2018-01-01,55.383
2019-01-01,55.805
2020-01-01,54.812
2021-01-01,54.886
2022-01-01,55.476
