date,value
1960-01-01,387790745.039
1961-01-01,410326116.034
1962-01-01,405965117.776
1963-01-01,453495798.783
1964-01-01,510987895.809
1965-01-01,639939744.28
1966-01-01,663039735.049
1967-01-01,576379769.679
1968-01-01,516319793.679
1969-01-01,755719698.014
1970-01-01,1054759578.518
1971-01-01,994778761.062
1972-01-01,1346273637.375
1973-01-01,2413613861.386
1974-01-01,6256020278.834
1975-01-01,5094309927.361
1976-01-01,6613959390.863
1977-01-01,8962875536.481
1978-01-01,7142147922.999
1979-01-01,11728083700.44
1980-01-01,18859387228.608
1981-01-01,14128557783.943
1982-01-01,9556562612.739
1983-01-01,5372793302.446
1984-01-01,4666830479.397
1985-01-01,5233610302.316
1986-01-01,2876808721.438
1987-01-01,6767637248.224
1988-01-01,5545310670.599
1989-01-01,11111113802.503
1990-01-01,11333885339.742
1991-01-01,11909681731.681
1992-01-01,11458720923.93
1993-01-01,5568907261.562
1994-01-01,4584122503.746
1995-01-01,10643648054.344
1996-01-01,11760052946.25
1997-01-01,15602035915.981
1998-01-01,9907407840.909
1999-01-01,12666764118.466
2000-01-01,25017784316.353
2001-01-01,20914343221.589
2002-01-01,22090304877.726
2003-01-01,28019123722.34
2004-01-01,27497518511.028
2005-01-01,36950462118.8
2006-01-01,70382678168.174
2007-01-01,59092401901.992
2008-01-01,87143789749.154
2009-01-01,54961140554.81
2010-01-01,94172012907.639
2011-01-01,131041638403.258
2012-01-01,146367018678.386
2013-01-01,93880662175.376
2014-01-01,105851512076.482
2015-01-01,52587763138.456
2016-01-01,37300993198.216
2017-01-01,49491582468.224
2018-01-01,65356458031.712
2019-01-01,67480782125.99
2020-01-01,35087257884.815
2021-01-01,47338716492.049
