date,value
1960-01-01,65552406393.873
1961-01-01,65678132952.643
1962-01-01,68372901880.073
1963-01-01,74238352573.694
1964-01-01,77913513803.711
1965-01-01,81719570903.678
1966-01-01,78246068951.187
1967-01-01,65927298767.976
1968-01-01,65104288579.019
1969-01-01,80857823251.588
1970-01-01,101078134730.951
1971-01-01,115469166059.74
1972-01-01,119353851375.661
1973-01-01,125790318708.731
1974-01-01,139829366789.542
1975-01-01,132519440485.581
1976-01-01,144502314400.015
1977-01-01,153207304114.788
1978-01-01,144376192434.583
1979-01-01,154135201449.058
1980-01-01,160616326249.741
1981-01-01,139530806900.194
1982-01-01,130037983589.582
1983-01-01,115832523685.836
1984-01-01,114540269158.565
1985-01-01,121313066725.654
1986-01-01,121387001306.819
1987-01-01,125271537649.302
1988-01-01,134458984149.194
1989-01-01,137039764741.604
1990-01-01,153178781519.729
1991-01-01,153727701669.909
1992-01-01,160847128147.16
1993-01-01,157573698042.042
1994-01-01,154713854416.779
1995-01-01,154601431955.451
1996-01-01,161088390613.199
1997-01-01,165819716799.187
1998-01-01,170099945042.359
1999-01-01,171093544569.026
2000-01-01,179675485138.399
2001-01-01,190308113745.181
2002-01-01,219480740883.585
2003-01-01,235606418838.655
2004-01-01,257401327803.401
2005-01-01,273974154829.826
2006-01-01,290575421565.98
2007-01-01,309727626397.651
2008-01-01,330679067370.794
2009-01-01,357255496343.036
2010-01-01,385856142118.692
2011-01-01,406337093677.543
2012-01-01,423525401317.249
2013-01-01,451780201313.18
2014-01-01,480286260958.304
2015-01-01,493026782401.561
2016-01-01,485055185442.129
2017-01-01,488964180279.005
2018-01-01,498365774952.982
2019-01-01,509371830634.38
2020-01-01,500232410862.672
2021-01-01,518476820025.41
2022-01-01,535336034389.031
