date,value
1961-01-01,0.192
1962-01-01,4.103
1963-01-01,8.579
1964-01-01,4.95
1965-01-01,4.885
1966-01-01,-4.251
1967-01-01,-15.744
1968-01-01,-1.248
1969-01-01,24.197
1970-01-01,25.007
1971-01-01,14.238
1972-01-01,3.364
1973-01-01,5.393
1974-01-01,11.161
1975-01-01,-5.228
1976-01-01,9.042
1977-01-01,6.024
1978-01-01,-5.764
1979-01-01,6.759
1980-01-01,4.205
1981-01-01,-13.128
1982-01-01,-6.803
1983-01-01,-10.924
1984-01-01,-1.116
1985-01-01,5.913
1986-01-01,0.061
1987-01-01,3.2
1988-01-01,7.334
1989-01-01,1.919
1990-01-01,11.777
1991-01-01,0.358
1992-01-01,4.631
1993-01-01,-2.035
1994-01-01,-1.815
1995-01-01,-0.073
1996-01-01,4.196
1997-01-01,2.937
1998-01-01,2.581
1999-01-01,0.584
2000-01-01,5.016
2001-01-01,5.918
2002-01-01,15.329
2003-01-01,7.347
2004-01-01,9.251
2005-01-01,6.439
2006-01-01,6.059
2007-01-01,6.591
2008-01-01,6.764
2009-01-01,8.037
2010-01-01,8.006
2011-01-01,5.308
2012-01-01,4.23
2013-01-01,6.671
2014-01-01,6.31
2015-01-01,2.653
2016-01-01,-1.617
2017-01-01,0.806
2018-01-01,1.923
2019-01-01,2.208
2020-01-01,-1.794
2021-01-01,3.647
2022-01-01,3.252
