date,value
1960-01-01,5.444
1961-01-01,6.279
1962-01-01,5.266
1963-01-01,-2.695
1964-01-01,0.857
1965-01-01,4.103
1966-01-01,9.69
1967-01-01,-3.726
1968-01-01,-0.476
1969-01-01,10.156
1970-01-01,13.757
1971-01-01,15.999
1972-01-01,3.458
1973-01-01,5.403
1974-01-01,12.674
1975-01-01,33.964
1976-01-01,24.3
1977-01-01,15.088
1978-01-01,21.709
1979-01-01,11.71
1980-01-01,9.972
1981-01-01,20.813
1982-01-01,7.698
1983-01-01,23.212
1984-01-01,17.821
1985-01-01,7.435
1986-01-01,5.717
1987-01-01,11.29
1988-01-01,54.511
1989-01-01,50.467
1990-01-01,7.364
1991-01-01,13.007
1992-01-01,44.589
1993-01-01,57.165
1994-01-01,57.032
1995-01-01,72.836
1996-01-01,29.268
1997-01-01,8.53
1998-01-01,9.996
1999-01-01,6.618
2000-01-01,6.933
2001-01-01,18.874
2002-01-01,12.877
2003-01-01,14.032
2004-01-01,14.998
2005-01-01,17.863
2006-01-01,8.225
2007-01-01,5.388
2008-01-01,11.581
2009-01-01,12.538
2010-01-01,13.74
2011-01-01,10.826
2012-01-01,12.224
2013-01-01,8.496
2014-01-01,8.047
2015-01-01,9.009
2016-01-01,15.697
2017-01-01,16.502
2018-01-01,12.095
2019-01-01,11.396
2020-01-01,13.246
2021-01-01,16.953
2022-01-01,18.847
