date,value
1960-01-01,44928342.0
1961-01-01,45855507.0
1962-01-01,46821845.0
1963-01-01,47822569.0
1964-01-01,48856332.0
1965-01-01,49925799.0
1966-01-01,51020296.0
1967-01-01,52106681.0
1968-01-01,53210119.0
1969-01-01,54360750.0
1970-01-01,55569264.0
1971-01-01,56837614.0
1972-01-01,58173834.0
1973-01-01,59605446.0
1974-01-01,61157931.0
1975-01-01,62851312.0
1976-01-01,64658315.0
1977-01-01,66589655.0
1978-01-01,68633344.0
1979-01-01,70750307.0
1980-01-01,72951439.0
1981-01-01,75175387.0
1982-01-01,77388067.0
1983-01-01,79351586.0
1984-01-01,81337553.0
1985-01-01,83585251.0
1986-01-01,85804185.0
1987-01-01,88044187.0
1988-01-01,90351467.0
1989-01-01,92744064.0
1990-01-01,95214257.0
1991-01-01,97685360.0
1992-01-01,100182045.0
1993-01-01,102775465.0
1994-01-01,105456121.0
1995-01-01,108187610.0
1996-01-01,110956183.0
1997-01-01,113791181.0
1998-01-01,116690527.0
1999-01-01,119695565.0
2000-01-01,122851984.0
2001-01-01,126152678.0
2002-01-01,129583026.0
2003-01-01,133119801.0
2004-01-01,136756848.0
2005-01-01,140490722.0
2006-01-01,144329764.0
2007-01-01,148294028.0
2008-01-01,152382506.0
2009-01-01,156595758.0
2010-01-01,160952853.0
2011-01-01,165463745.0
2012-01-01,170075932.0
2013-01-01,174726123.0
2014-01-01,179379016.0
2015-01-01,183995785.0
2016-01-01,188666931.0
2017-01-01,193495907.0
2018-01-01,198387623.0
2019-01-01,203304492.0
2020-01-01,208327405.0
2021-01-01,213401323.0
2022-01-01,218541212.0
