date,value
1991-01-01,3.978
1992-01-01,3.931
1993-01-01,3.982
1994-01-01,3.97
1995-01-01,3.945
1996-01-01,3.898
1997-01-01,3.9
1998-01-01,3.893
1999-01-01,3.901
2000-01-01,3.852
2001-01-01,3.838
2002-01-01,3.751
2003-01-01,3.812
2004-01-01,3.789
2005-01-01,3.807
2006-01-01,3.803
2007-01-01,3.791
2008-01-01,3.782
2009-01-01,3.763
2010-01-01,3.755
2011-01-01,3.77
2012-01-01,3.75
2013-01-01,3.7
2014-01-01,3.944
2015-01-01,4.221
2016-01-01,4.509
2017-01-01,4.729
2018-01-01,4.963
2019-01-01,5.206
2020-01-01,5.999
2021-01-01,5.936
2022-01-01,5.761
