date,value
1991-01-01,49.348
1992-01-01,49.341
1993-01-01,48.887
1994-01-01,48.833
1995-01-01,48.047
1996-01-01,48.924
1997-01-01,49.814
1998-01-01,49.644
1999-01-01,49.872
2000-01-01,50.102
2001-01-01,50.127
2002-01-01,50.154
2003-01-01,50.286
2004-01-01,50.423
2005-01-01,50.082
2006-01-01,49.74
2007-01-01,49.85
2008-01-01,49.87
2009-01-01,50.267
2010-01-01,50.668
2011-01-01,50.364
2012-01-01,50.157
2013-01-01,49.932
2014-01-01,50.067
2015-01-01,50.173
2016-01-01,49.742
2017-01-01,49.328
2018-01-01,48.91
2019-01-01,49.108
2020-01-01,47.762
2021-01-01,49.387
2022-01-01,49.365
