date,value
1960-01-01,371.063
1961-01-01,384.031
1962-01-01,392.075
1963-01-01,416.092
1964-01-01,436.721
1965-01-01,470.234
1966-01-01,484.763
1967-01-01,497.566
1968-01-01,519.344
1969-01-01,533.204
1970-01-01,577.577
1971-01-01,565.147
1972-01-01,554.88
1973-01-01,577.665
1974-01-01,581.266
1975-01-01,588.16
1976-01-01,599.958
1977-01-01,604.532
1978-01-01,632.766
1979-01-01,634.343
1980-01-01,671.251
1981-01-01,693.076
1982-01-01,708.473
1983-01-01,729.484
1984-01-01,742.598
1985-01-01,773.329
1986-01-01,787.52
1987-01-01,809.122
1988-01-01,840.842
1989-01-01,853.284
1990-01-01,862.416
1991-01-01,877.264
1992-01-01,920.377
1993-01-01,912.897
1994-01-01,919.915
1995-01-01,937.479
1996-01-01,953.425
1997-01-01,935.188
1998-01-01,931.707
1999-01-01,938.592
2000-01-01,948.938
2001-01-01,952.748
2002-01-01,952.448
2003-01-01,985.654
2004-01-01,1036.609
2005-01-01,1080.605
2006-01-01,1120.585
2007-01-01,1149.851
2008-01-01,1144.21
2009-01-01,1150.672
2010-01-01,1143.118
2011-01-01,1150.003
2012-01-01,1169.123
2013-01-01,1201.908
2014-01-01,1240.489
2015-01-01,1282.443
2016-01-01,1337.123
2017-01-01,1377.97
2018-01-01,1440.425
2019-01-01,1452.851
2020-01-01,1409.697
2021-01-01,1473.865
2022-01-01,1535.718
