date,value
1961-01-01,5.987
1962-01-01,4.483
1963-01-01,8.689
1964-01-01,7.57
1965-01-01,10.419
1966-01-01,5.79
1967-01-01,5.401
1968-01-01,7.233
1969-01-01,5.508
1970-01-01,11.353
1971-01-01,0.468
1972-01-01,0.813
1973-01-01,7.064
1974-01-01,3.54
1975-01-01,4.211
1976-01-01,5.156
1977-01-01,3.948
1978-01-01,8.049
1979-01-01,3.758
1980-01-01,10.216
1981-01-01,7.921
1982-01-01,6.537
1983-01-01,6.778
1984-01-01,5.065
1985-01-01,7.592
1986-01-01,5.502
1987-01-01,6.452
1988-01-01,7.625
1989-01-01,4.96
1990-01-01,4.459
1991-01-01,5.062
1992-01-01,7.706
1993-01-01,1.758
1994-01-01,3.737
1995-01-01,4.963
1996-01-01,4.847
1997-01-01,1.014
1998-01-01,2.55
1999-01-01,3.66
2000-01-01,4.26
2001-01-01,3.554
2002-01-01,2.508
2003-01-01,5.777
2004-01-01,7.547
2005-01-01,6.519
2006-01-01,5.899
2007-01-01,4.833
2008-01-01,1.701
2009-01-01,2.832
2010-01-01,1.607
2011-01-01,2.748
2012-01-01,3.507
2013-01-01,4.396
2014-01-01,4.675
2015-01-01,4.731
2016-01-01,5.527
2017-01-01,4.433
2018-01-01,6.152
2019-01-01,2.498
2020-01-01,-1.274
2021-01-01,6.487
2022-01-01,6.188
