date,value
1960-01-01,6.947
1961-01-01,1.64
1962-01-01,-0.516
1963-01-01,1.456
1964-01-01,4.18
1965-01-01,5.569
1966-01-01,7.228
1967-01-01,6.811
1968-01-01,0.171
1969-01-01,3.187
1970-01-01,5.35
1971-01-01,4.731
1972-01-01,5.183
1973-01-01,23.07
1974-01-01,26.663
1975-01-01,20.905
1976-01-01,7.158
1977-01-01,10.133
1978-01-01,6.139
1979-01-01,8.267
1980-01-01,11.938
1981-01-01,11.88
1982-01-01,5.904
1983-01-01,6.362
1984-01-01,6.087
1985-01-01,5.615
1986-01-01,3.506
1987-01-01,4.681
1988-01-01,8.838
1989-01-01,7.844
1990-01-01,9.052
1991-01-01,11.791
1992-01-01,9.509
1993-01-01,9.974
1994-01-01,12.368
1995-01-01,12.344
1996-01-01,10.374
1997-01-01,11.375
1998-01-01,6.228
1999-01-01,4.143
2000-01-01,4.367
2001-01-01,3.148
2002-01-01,3.29
2003-01-01,2.914
2004-01-01,7.445
2005-01-01,9.063
2006-01-01,7.921
2007-01-01,7.599
2008-01-01,20.286
2009-01-01,13.648
2010-01-01,12.939
2011-01-01,11.916
2012-01-01,9.682
2013-01-01,7.692
2014-01-01,7.189
2015-01-01,2.529
2016-01-01,3.765
2017-01-01,4.085
2018-01-01,5.078
2019-01-01,10.578
2020-01-01,9.74
2021-01-01,9.496
2022-01-01,19.874
