date,value
1991-01-01,59.352
1992-01-01,59.461
1993-01-01,59.514
1994-01-01,59.479
1995-01-01,59.39
1996-01-01,59.274
1997-01-01,59.145
1998-01-01,59.139
1999-01-01,59.188
2000-01-01,59.122
2001-01-01,59.058
2002-01-01,59.04
2003-01-01,58.982
2004-01-01,59.336
2005-01-01,59.25
2006-01-01,58.932
2007-01-01,59.159
2008-01-01,58.798
2009-01-01,59.068
2010-01-01,59.212
2011-01-01,59.996
2012-01-01,59.569
2013-01-01,59.299
2014-01-01,59.932
2015-01-01,59.525
2016-01-01,59.927
2017-01-01,57.632
2018-01-01,57.6
2019-01-01,58.109
2020-01-01,53.37
2021-01-01,55.293
2022-01-01,57.065
