date,value
1981-01-01,6543358555.885
1982-01-01,5854443596.419
1983-01-01,5554591731.811
1984-01-01,6053575630.202
1985-01-01,5951187408.966
1986-01-01,6310106678.625
1987-01-01,7007121196.732
1988-01-01,8630151222.998
1989-01-01,9576565217.785
1990-01-01,9795179683.676
1991-01-01,10856618962.127
1992-01-01,12555557280.927
1993-01-01,13836088142.108
1994-01-01,17613597721.179
1995-01-01,21961853081.404
1996-01-01,27340728434.054
1997-01-01,33018279354.126
1998-01-01,28163249808.953
1999-01-01,32895381761.016
2000-01-01,36266016498.368
2001-01-01,32480429836.878
2002-01-01,33727727182.94
2003-01-01,36821904046.492
2004-01-01,39736335582.821
2005-01-01,44289299041.989
2006-01-01,52651036393.432
2007-01-01,59294682975.189
2008-01-01,60584224267.468
2009-01-01,53178735896.572
2010-01-01,68500918538.513
2011-01-01,68169783975.657
2012-01-01,71941908886.31
2013-01-01,74318435585.767
2014-01-01,81375151054.66
2015-01-01,83377968160.317
2016-01-01,84987391421.192
2017-01-01,97073583138.795
2018-01-01,104793441995.856
2019-01-01,106953485565.579
2020-01-01,91171559886.148
2021-01-01,101485510601.847
2022-01-01,114756536153.686
