date,value
1960-01-01,4.155
1961-01-01,1.596
1962-01-01,5.797
1963-01-01,5.626
1964-01-01,8.183
1965-01-01,2.564
1966-01-01,5.4
1967-01-01,6.254
1968-01-01,2.359
1969-01-01,1.956
1970-01-01,14.381
1971-01-01,21.403
1972-01-01,8.204
1973-01-01,16.58
1974-01-01,34.164
1975-01-01,6.761
1976-01-01,9.199
1977-01-01,9.899
1978-01-01,7.335
1979-01-01,17.533
1980-01-01,18.201
1981-01-01,13.083
1982-01-01,10.222
1983-01-01,10.029
1984-01-01,50.339
1985-01-01,23.103
1986-01-01,1.148
1987-01-01,4.07
1988-01-01,13.86
1989-01-01,12.243
1990-01-01,12.177
1991-01-01,19.261
1992-01-01,8.651
1993-01-01,6.716
1994-01-01,10.386
1995-01-01,6.832
1996-01-01,7.476
1997-01-01,5.59
1998-01-01,9.235
1999-01-01,5.939
2000-01-01,3.977
2001-01-01,5.346
2002-01-01,2.723
2003-01-01,2.289
2004-01-01,4.829
2005-01-01,6.517
2006-01-01,5.485
2007-01-01,2.9
2008-01-01,8.26
2009-01-01,4.219
2010-01-01,3.79
2011-01-01,4.718
2012-01-01,3.027
2013-01-01,2.583
2014-01-01,3.598
2015-01-01,0.674
2016-01-01,1.254
2017-01-01,2.853
2018-01-01,5.309
2019-01-01,2.392
2020-01-01,2.393
2021-01-01,3.927
2022-01-01,5.821
