date,value
1991-01-01,3.834
1992-01-01,3.802
1993-01-01,3.738
1994-01-01,3.661
1995-01-01,3.651
1996-01-01,3.608
1997-01-01,3.63
1998-01-01,3.828
1999-01-01,3.691
2000-01-01,3.655
2001-01-01,3.7
2002-01-01,3.627
2003-01-01,3.53
2004-01-01,3.55
2005-01-01,3.8
2006-01-01,4.05
2007-01-01,3.43
2008-01-01,3.72
2009-01-01,3.86
2010-01-01,3.61
2011-01-01,3.59
2012-01-01,3.5
2013-01-01,3.5
2014-01-01,3.6
2015-01-01,3.07
2016-01-01,2.7
2017-01-01,2.55
2018-01-01,2.34
2019-01-01,2.24
2020-01-01,2.52
2021-01-01,2.632
2022-01-01,2.238
