date,value
1991-01-01,62.973
1992-01-01,62.541
1993-01-01,60.17
1994-01-01,56.897
1995-01-01,55.642
1996-01-01,54.577
1997-01-01,52.08
1998-01-01,50.417
1999-01-01,53.257
2000-01-01,54.758
2001-01-01,54.542
2002-01-01,55.537
2003-01-01,55.041
2004-01-01,55.831
2005-01-01,56.506
2006-01-01,56.827
2007-01-01,58.246
2008-01-01,58.601
2009-01-01,57.411
2010-01-01,57.993
2011-01-01,58.76
2012-01-01,59.461
2013-01-01,59.353
2014-01-01,59.539
2015-01-01,59.207
2016-01-01,59.417
2017-01-01,59.309
2018-01-01,59.55
2019-01-01,59.113
2020-01-01,58.162
2021-01-01,59.226
