date,value
1989-01-01,8105.895
1990-01-01,7849.519
1991-01-01,7432.021
1992-01-01,6345.912
1993-01-01,5798.915
1994-01-01,5071.743
1995-01-01,4862.646
1996-01-01,4686.863
1997-01-01,4760.339
1998-01-01,4515.509
1999-01-01,4819.38
2000-01-01,5323.667
2001-01-01,5618.956
2002-01-01,5910.172
2003-01-01,6370.454
2004-01-01,6856.678
2005-01-01,7323.385
2006-01-01,7949.897
2007-01-01,8640.406
2008-01-01,9093.7
2009-01-01,8381.868
2010-01-01,8755.12
2011-01-01,9124.475
2012-01-01,9475.69
2013-01-01,9621.518
2014-01-01,9520.948
2015-01-01,9313.021
2016-01-01,9313.976
2017-01-01,9473.188
2018-01-01,9739.908
2019-01-01,9958.47
2020-01-01,9714.384
2021-01-01,10301.665
2022-01-01,10078.9
