date,value
1990-01-01,-3.0
1991-01-01,-5.047
1992-01-01,-14.531
1993-01-01,-8.669
1994-01-01,-12.57
1995-01-01,-4.144
1996-01-01,-3.755
1997-01-01,1.4
1998-01-01,-5.3
1999-01-01,6.4
2000-01-01,10.0
2001-01-01,5.1
2002-01-01,4.7
2003-01-01,7.3
2004-01-01,7.2
2005-01-01,6.4
2006-01-01,8.2
2007-01-01,8.5
2008-01-01,5.2
2009-01-01,-7.8
2010-01-01,4.5
2011-01-01,4.3
2012-01-01,4.024
2013-01-01,1.755
2014-01-01,0.736
2015-01-01,-1.973
2016-01-01,0.194
2017-01-01,1.826
2018-01-01,2.807
2019-01-01,2.198
2020-01-01,-2.654
2021-01-01,5.614
2022-01-01,-2.07
