date,value
1993-01-01,874.246
1994-01-01,307.723
1995-01-01,197.414
1996-01-01,47.752
1997-01-01,14.761
1998-01-01,27.686
1999-01-01,85.746
2000-01-01,20.799
2001-01-01,21.477
2002-01-01,15.789
2003-01-01,13.663
2004-01-01,10.889
2005-01-01,12.685
2006-01-01,9.669
2007-01-01,9.007
2008-01-01,14.111
2009-01-01,11.647
2010-01-01,6.849
2011-01-01,8.44
2012-01-01,5.075
2013-01-01,6.754
2014-01-01,7.823
2015-01-01,15.534
2016-01-01,7.042
2017-01-01,3.683
2018-01-01,2.878
2019-01-01,4.47
2020-01-01,3.382
2021-01-01,6.694
