date,value
1991-01-01,5.414
1992-01-01,5.18
1993-01-01,5.88
1994-01-01,8.13
1995-01-01,9.45
1996-01-01,9.67
1997-01-01,11.81
1998-01-01,13.26
1999-01-01,13.04
2000-01-01,10.58
2001-01-01,8.98
2002-01-01,7.88
2003-01-01,8.21
2004-01-01,7.76
2005-01-01,7.12
2006-01-01,7.06
2007-01-01,6.0
2008-01-01,6.21
2009-01-01,8.3
2010-01-01,7.37
2011-01-01,6.54
2012-01-01,5.44
2013-01-01,5.46
2014-01-01,5.16
2015-01-01,5.57
2016-01-01,5.56
2017-01-01,5.21
2018-01-01,4.85
2019-01-01,4.5
2020-01-01,5.59
2021-01-01,4.72
