date,value
1960-01-01,15908737495.075
1961-01-01,16761787274.313
1962-01-01,18028015335.02
1963-01-01,19470226056.074
1964-01-01,20800236447.135
1965-01-01,22502041392.276
1966-01-01,25004835107.803
1967-01-01,27159247283.158
1968-01-01,29365194746.867
1969-01-01,31288808779.56
1970-01-01,34858220148.556
1971-01-01,36564660310.996
1972-01-01,38129082241.693
1973-01-01,42032140204.552
1974-01-01,43909402089.543
1975-01-01,46091877306.438
1976-01-01,50390779626.857
1977-01-01,55350977493.414
1978-01-01,61049773840.746
1979-01-01,64329225147.906
1980-01-01,67657323989.595
1981-01-01,71653752649.67
1982-01-01,75488911384.42
1983-01-01,79704365037.914
1984-01-01,84289303044.113
1985-01-01,88206429551.471
1986-01-01,93087621442.488
1987-01-01,101948581880.862
1988-01-01,115495625735.737
1989-01-01,129575126905.326
1990-01-01,144044993110.43
1991-01-01,156372738600.536
1992-01-01,169012953824.518
1993-01-01,182959760659.991
1994-01-01,197591097851.028
1995-01-01,213636118092.657
1996-01-01,225710712844.424
1997-01-01,219495598737.563
1998-01-01,202739227278.718
1999-01-01,212009088682.216
2000-01-01,221454617337.364
2001-01-01,229082065801.905
2002-01-01,243168404616.96
2003-01-01,260650372861.893
2004-01-01,277043566607.813
2005-01-01,288645149467.72
2006-01-01,302984494643.537
2007-01-01,319452161526.133
2008-01-01,324964943799.62
2009-01-01,322720676649.154
2010-01-01,346967941415.307
2011-01-01,349882930409.047
2012-01-01,375224238005.896
2013-01-01,385308372754.376
2014-01-01,389101613713.062
2015-01-01,401296242133.903
2016-01-01,415081400963.284
2017-01-01,432422177919.102
2018-01-01,450682805586.838
2019-01-01,460212753988.881
2020-01-01,432291986906.542
2021-01-01,438742195046.442
2022-01-01,450126385467.767
