date,value
1991-01-01,52.32
1992-01-01,51.225
1993-01-01,47.477
1994-01-01,49.961
1995-01-01,49.994
1996-01-01,50.168
1997-01-01,48.956
1998-01-01,49.162
1999-01-01,48.647
2000-01-01,46.703
2001-01-01,45.645
2002-01-01,44.444
2003-01-01,43.236
2004-01-01,41.29
2005-01-01,41.49
2006-01-01,41.551
2007-01-01,41.501
2008-01-01,41.705
2009-01-01,41.154
2010-01-01,42.999
2011-01-01,44.971
2012-01-01,45.356
2013-01-01,45.9
2014-01-01,45.502
2015-01-01,45.993
2016-01-01,46.328
2017-01-01,47.078
2018-01-01,47.371
2019-01-01,45.677
2020-01-01,42.837
2021-01-01,45.207
2022-01-01,47.279
