date,value
1960-01-01,68945010374.887
1961-01-01,69742062532.59
1962-01-01,73627691738.071
1963-01-01,80303003242.23
1964-01-01,84686789800.029
1965-01-01,87077946329.423
1966-01-01,96841835387.924
1967-01-01,101424885168.074
1968-01-01,108299459838.3
1969-01-01,112719318500.943
1970-01-01,116364107778.9
1971-01-01,122841742167.286
1972-01-01,131963709916.16
1973-01-01,136268807576.523
1974-01-01,143892331135.247
1975-01-01,154215329122.828
1976-01-01,170348071605.743
1977-01-01,176151267923.669
1978-01-01,178798703478.982
1979-01-01,177682796507.187
1980-01-01,173334275830.293
1981-01-01,181752512799.362
1982-01-01,188228768884.771
1983-01-01,197585773032.095
1984-01-01,210847761162.805
1985-01-01,219790522564.232
1986-01-01,235202302384.463
1987-01-01,257512508135.518
1988-01-01,263488695660.839
1989-01-01,264253455971.899
1990-01-01,288739568786.745
1991-01-01,290819299368.227
1992-01-01,305463897616.475
1993-01-01,328835750522.578
1994-01-01,313485213102.839
1995-01-01,338182414808.473
1996-01-01,363139142330.587
1997-01-01,390656605096.382
1998-01-01,400048576871.283
1999-01-01,386994318102.283
2000-01-01,413825561819.338
2001-01-01,390030564889.94
2002-01-01,415178651611.669
2003-01-01,439106252848.361
2004-01-01,482120822058.399
2005-01-01,525474596539.118
2006-01-01,561984508900.141
2007-01-01,590328242180.72
2008-01-01,595139562415.898
2009-01-01,566435065085.263
2010-01-01,614169138940.703
2011-01-01,682956761670.872
2012-01-01,715660096423.31
2013-01-01,776389702522.984
2014-01-01,814741142369.795
2015-01-01,864313960482.343
2016-01-01,893035841214.625
2017-01-01,960031367599.978
2018-01-01,988639200796.515
2019-01-01,996386278399.184
2020-01-01,1015716493489.77
2021-01-01,1131035829094.38
2022-01-01,1193987700341.42
