date,value
1960-01-01,2506.091
1961-01-01,2468.309
1962-01-01,2535.944
1963-01-01,2692.213
1964-01-01,2766.383
1965-01-01,2775.434
1966-01-01,3010.054
1967-01-01,3071.016
1968-01-01,3196.176
1969-01-01,3246.338
1970-01-01,3274.082
1971-01-01,3378.49
1972-01-01,3548.553
1973-01-01,3583.359
1974-01-01,3702.513
1975-01-01,3887.103
1976-01-01,4206.022
1977-01-01,4256.336
1978-01-01,4227.699
1979-01-01,4114.22
1980-01-01,3931.457
1981-01-01,4040.572
1982-01-01,4096.383
1983-01-01,4201.59
1984-01-01,4382.913
1985-01-01,4469.497
1986-01-01,4683.077
1987-01-01,5024.619
1988-01-01,5040.348
1989-01-01,4957.364
1990-01-01,5315.124
1991-01-01,5256.926
1992-01-01,5425.45
1993-01-01,5739.244
1994-01-01,5376.16
1995-01-01,5702.38
1996-01-01,6022.829
1997-01-01,6375.212
1998-01-01,6427.288
1999-01-01,6124.722
2000-01-01,6454.573
2001-01-01,5993.829
2002-01-01,6291.666
2003-01-01,6566.828
2004-01-01,7112.492
2005-01-01,7648.305
2006-01-01,8074.335
2007-01-01,8377.149
2008-01-01,8344.553
2009-01-01,7842.576
2010-01-01,8390.822
2011-01-01,9207.513
2012-01-01,9506.967
2013-01-01,10138.797
2014-01-01,10430.412
2015-01-01,10851.92
2016-01-01,11022.495
2017-01-01,11694.889
2018-01-01,11938.745
2019-01-01,11935.388
2020-01-01,12072.399
2021-01-01,13341.556
2022-01-01,13990.747
