date,value
1961-01-01,1.156
1962-01-01,5.571
1963-01-01,9.066
1964-01-01,5.459
1965-01-01,2.824
1966-01-01,11.213
1967-01-01,4.733
1968-01-01,6.778
1969-01-01,4.081
1970-01-01,3.234
1971-01-01,5.567
1972-01-01,7.426
1973-01-01,3.262
1974-01-01,5.594
1975-01-01,7.174
1976-01-01,10.461
1977-01-01,3.407
1978-01-01,1.503
1979-01-01,-0.624
1980-01-01,-2.447
1981-01-01,4.857
1982-01-01,3.563
1983-01-01,4.971
1984-01-01,6.712
1985-01-01,4.241
1986-01-01,7.012
1987-01-01,9.486
1988-01-01,2.321
1989-01-01,0.29
1990-01-01,9.266
1991-01-01,0.72
1992-01-01,5.036
1993-01-01,7.651
1994-01-01,-4.668
1995-01-01,7.878
1996-01-01,7.38
1997-01-01,7.578
1998-01-01,2.404
1999-01-01,-3.263
2000-01-01,6.933
2001-01-01,-5.75
2002-01-01,6.448
2003-01-01,5.763
2004-01-01,9.796
2005-01-01,8.992
2006-01-01,6.948
2007-01-01,5.044
2008-01-01,0.815
2009-01-01,-4.823
2010-01-01,8.427
2011-01-01,11.2
2012-01-01,4.788
2013-01-01,8.486
2014-01-01,4.94
2015-01-01,6.084
2016-01-01,3.323
2017-01-01,7.502
2018-01-01,2.98
2019-01-01,0.784
2020-01-01,1.94
2021-01-01,11.353
2022-01-01,5.566
