date,value
1960-01-01,277256637.989
1961-01-01,543237250.554
1962-01-01,709534368.071
1963-01-01,720620842.572
1964-01-01,608463169.602
1965-01-01,641592920.425
1966-01-01,796460177.079
1967-01-01,774336283.271
1968-01-01,884955752.31
1969-01-01,918141593.022
1970-01-01,1103411749.226
1971-01-01,1345291479.783
1972-01-01,1745583038.869
1973-01-01,2339222614.841
1974-01-01,4013762154.148
1975-01-01,5013127146.015
1976-01-01,5469354278.076
1977-01-01,6282548015.18
1978-01-01,4748340689.179
1979-01-01,5257823184.145
1980-01-01,8205098980.061
1981-01-01,9167532704.047
1982-01-01,9692813798.191
1983-01-01,10212586652.72
1984-01-01,11802186024.34
1985-01-01,12751945824.557
1986-01-01,12193709005.065
1987-01-01,15478862244.655
1988-01-01,15947317078.887
1989-01-01,19050901114.094
1990-01-01,26485699773.509
1991-01-01,25125557835.627
1992-01-01,27595229630.305
1993-01-01,34899514882.691
1994-01-01,26631714448.786
1995-01-01,41231002111.042
1996-01-01,50495545363.93
1997-01-01,57701398610.608
1998-01-01,54441041828.675
1999-01-01,48340923171.213
2000-01-01,61642933150.571
2001-01-01,45776839023.606
2002-01-01,54962425740.393
2003-01-01,73045683222.824
2004-01-01,103038506289.471
2005-01-01,122862772593.779
2006-01-01,146890005610.764
2007-01-01,176879772945.615
2008-01-01,207882347189.6
2009-01-01,152043244798.914
2010-01-01,198129280568.281
2011-01-01,254239868358.702
2012-01-01,250693626749.188
2013-01-01,275216734956.352
2014-01-01,268166804142.689
2015-01-01,229538159823.602
2016-01-01,219548653589.526
2017-01-01,255314996902.758
2018-01-01,244453298403.845
2019-01-01,229207944085.646
2020-01-01,232097252512.278
2021-01-01,291018587433.142
2022-01-01,385986511467.463
