date,value
1991-01-01,8.21
1992-01-01,8.51
1993-01-01,8.96
1994-01-01,8.58
1995-01-01,7.64
1996-01-01,6.63
1997-01-01,6.84
1998-01-01,6.89
1999-01-01,7.69
2000-01-01,6.5
2001-01-01,8.38
2002-01-01,10.36
2003-01-01,10.54
2004-01-01,10.84
2005-01-01,10.64
2006-01-01,8.72
2007-01-01,8.87
2008-01-01,9.71
2009-01-01,12.55
2010-01-01,10.66
2011-01-01,8.8
2012-01-01,8.15
2013-01-01,8.73
2014-01-01,9.88
2015-01-01,10.24
2016-01-01,10.84
2017-01-01,10.82
2018-01-01,10.89
2019-01-01,13.67
2020-01-01,13.11
2021-01-01,11.98
2022-01-01,10.03
