date,value
1989-01-01,39.128
1990-01-01,40.934
1991-01-01,44.062
1992-01-01,46.05
1993-01-01,48.246
1994-01-01,47.353
1995-01-01,47.21
1996-01-01,46.742
1997-01-01,44.117
1998-01-01,41.129
1999-01-01,37.727
2000-01-01,33.268
2001-01-01,52.444
2002-01-01,53.863
2003-01-01,56.25
2004-01-01,56.662
2005-01-01,56.539
2006-01-01,55.467
2007-01-01,55.66
2008-01-01,63.815
2009-01-01,75.842
2010-01-01,84.964
2011-01-01,89.547
2012-01-01,93.649
2013-01-01,95.535
2014-01-01,95.767
2015-01-01,96.425
2016-01-01,98.504
2017-01-01,97.693
2018-01-01,99.061
2019-01-01,100.805
2020-01-01,126.232
2021-01-01,120.374
