date,value
1991-01-01,60.343
1992-01-01,60.119
1993-01-01,60.412
1994-01-01,61.22
1995-01-01,61.613
1996-01-01,61.899
1997-01-01,62.514
1998-01-01,62.777
1999-01-01,63.032
2000-01-01,63.297
2001-01-01,62.519
2002-01-01,61.548
2003-01-01,61.066
2004-01-01,61.164
2005-01-01,61.516
2006-01-01,61.921
2007-01-01,61.752
2008-01-01,61.005
2009-01-01,58.2
2010-01-01,57.369
2011-01-01,57.326
2012-01-01,57.752
2013-01-01,57.845
2014-01-01,58.351
2015-01-01,58.785
2016-01-01,59.181
2017-01-01,59.59
2018-01-01,59.94
2019-01-01,60.329
2020-01-01,56.38
2021-01-01,57.946
2022-01-01,59.656
