date,value
1960-01-01,3457188037625.69
1961-01-01,3536703362491.07
1962-01-01,3752442267603.03
1963-01-01,3917549727377.56
1964-01-01,4144767611565.47
1965-01-01,4410032738705.65
1966-01-01,4696684866721.53
1967-01-01,4814101988389.57
1968-01-01,5045178883832.25
1969-01-01,5201579429231.05
1970-01-01,5186833406000.0
1971-01-01,5357654069000.0
1972-01-01,5639408133000.0
1973-01-01,5957793470000.0
1974-01-01,5925588519000.0
1975-01-01,5913414038000.0
1976-01-01,6232037023000.0
1977-01-01,6520215954000.0
1978-01-01,6881129791000.0
1979-01-01,7098996359000.0
1980-01-01,7080769709000.0
1981-01-01,7260459769000.0
1982-01-01,7129561854000.0
1983-01-01,7456374792000.0
1984-01-01,7995965282000.0
1985-01-01,8329369546000.0
1986-01-01,8617786125000.0
1987-01-01,8915897063000.0
1988-01-01,9288319548000.0
1989-01-01,9629446844000.0
1990-01-01,9811054837000.0
1991-01-01,9800432919000.0
1992-01-01,10145647340000.0
1993-01-01,10424833341000.0
1994-01-01,10844828324000.0
1995-01-01,11135927079000.0
1996-01-01,11556037222000.0
1997-01-01,12069954414000.0
1998-01-01,12610856679000.0
1999-01-01,13215484082000.0
2000-01-01,13754300444000.0
2001-01-01,13885563060000.0
2002-01-01,14121054284000.0
2003-01-01,14515908489000.0
2004-01-01,15075141499000.0
2005-01-01,15600241891000.0
2006-01-01,16034367080000.0
2007-01-01,16356739241000.0
2008-01-01,16376725286000.0
2009-01-01,15950948713000.0
2010-01-01,16383037055000.0
2011-01-01,16636956919000.0
2012-01-01,17016393933000.0
2013-01-01,17329814706000.0
2014-01-01,17726282036000.0
2015-01-01,18206020741000.0
2016-01-01,18509601053000.0
2017-01-01,18924571726000.0
2018-01-01,19481973191000.0
2019-01-01,19928975197000.0
2020-01-01,19377380521000.0
2021-01-01,20529459727000.0
2022-01-01,20952693656000.0
