date,value
1960-01-01,19135.268
1961-01-01,19253.547
1962-01-01,20116.235
1963-01-01,20701.27
1964-01-01,21599.819
1965-01-01,22696.679
1966-01-01,23894.408
1967-01-01,24226.529
1968-01-01,25137.16
1969-01-01,25664.379
1970-01-01,25295.21
1971-01-01,25800.001
1972-01-01,26867.63
1973-01-01,28114.868
1974-01-01,27708.57
1975-01-01,27380.339
1976-01-01,28582.737
1977-01-01,29605.183
1978-01-01,30914.616
1979-01-01,31543.384
1980-01-01,31161.931
1981-01-01,31640.678
1982-01-01,30775.441
1983-01-01,31893.199
1984-01-01,33906.351
1985-01-01,35008.53
1986-01-01,35887.555
1987-01-01,36798.604
1988-01-01,37989.192
1989-01-01,39014.204
1990-01-01,39303.489
1991-01-01,38739.798
1992-01-01,39552.022
1993-01-01,40108.008
1994-01-01,41215.343
1995-01-01,41820.68
1996-01-01,42896.416
1997-01-01,44267.906
1998-01-01,45715.693
1999-01-01,47360.536
2000-01-01,48746.041
2001-01-01,48726.582
2002-01-01,49095.332
2003-01-01,50036.234
2004-01-01,51485.207
2005-01-01,52789.731
2006-01-01,53738.092
2007-01-01,54299.617
2008-01-01,53854.161
2009-01-01,51996.183
2010-01-01,52963.464
2011-01-01,53394.862
2012-01-01,54213.46
2013-01-01,54830.784
2014-01-01,55675.387
2015-01-01,56762.729
2016-01-01,57292.539
2017-01-01,58207.578
2018-01-01,59607.394
2019-01-01,60698.011
2020-01-01,58451.607
2021-01-01,61829.846
2022-01-01,62866.714
