date,value
1961-01-01,2.3
1962-01-01,6.1
1963-01-01,4.4
1964-01-01,5.8
1965-01-01,6.4
1966-01-01,6.5
1967-01-01,2.5
1968-01-01,4.8
1969-01-01,3.1
1970-01-01,-0.283
1971-01-01,3.293
1972-01-01,5.259
1973-01-01,5.646
1974-01-01,-0.541
1975-01-01,-0.205
1976-01-01,5.388
1977-01-01,4.624
1978-01-01,5.535
1979-01-01,3.166
1980-01-01,-0.257
1981-01-01,2.538
1982-01-01,-1.803
1983-01-01,4.584
1984-01-01,7.237
1985-01-01,4.17
1986-01-01,3.463
1987-01-01,3.459
1988-01-01,4.177
1989-01-01,3.673
1990-01-01,1.886
1991-01-01,-0.108
1992-01-01,3.522
1993-01-01,2.752
1994-01-01,4.029
1995-01-01,2.684
1996-01-01,3.773
1997-01-01,4.447
1998-01-01,4.481
1999-01-01,4.794
2000-01-01,4.077
2001-01-01,0.954
2002-01-01,1.696
2003-01-01,2.796
2004-01-01,3.853
2005-01-01,3.483
2006-01-01,2.783
2007-01-01,2.011
2008-01-01,0.122
2009-01-01,-2.6
2010-01-01,2.709
2011-01-01,1.55
2012-01-01,2.281
2013-01-01,1.842
2014-01-01,2.288
2015-01-01,2.706
2016-01-01,1.667
2017-01-01,2.242
2018-01-01,2.945
2019-01-01,2.294
2020-01-01,-2.768
2021-01-01,5.945
2022-01-01,2.062
