date,value
1970-01-01,55760000000.0
1971-01-01,62342000000.0
1972-01-01,74216000000.0
1973-01-01,91159000000.0
1974-01-01,127465000000.0
1975-01-01,122730000000.0
1976-01-01,151146000000.0
1977-01-01,182443000000.0
1978-01-01,212250000000.0
1979-01-01,252674000000.0
1980-01-01,293828000000.0
1981-01-01,317758000000.0
1982-01-01,303184000000.0
1983-01-01,328638000000.0
1984-01-01,405107000000.0
1985-01-01,417229000000.0
1986-01-01,452867000000.0
1987-01-01,508713000000.0
1988-01-01,553993000000.0
1989-01-01,591031000000.0
1990-01-01,629727000000.0
1991-01-01,623544000000.0
1992-01-01,667791000000.0
1993-01-01,719973000000.0
1994-01-01,813424000000.0
1995-01-01,902572000000.0
1996-01-01,963966000000.0
1997-01-01,1055774000000.0
1998-01-01,1115690000000.0
1999-01-01,1252460000000.0
2000-01-01,1477184000000.0
2001-01-01,1403559000000.0
2002-01-01,1437724000000.0
2003-01-01,1557120000000.0
2004-01-01,1810504000000.0
2005-01-01,2041482000000.0
2006-01-01,2256623000000.0
2007-01-01,2395228000000.0
2008-01-01,2576151000000.0
2009-01-01,2001927000000.0
2010-01-01,2389555000000.0
2011-01-01,2695480000000.0
2012-01-01,2769317000000.0
2013-01-01,2766375000000.0
2014-01-01,2887445000000.0
2015-01-01,2794850000000.0
2016-01-01,2738359000000.0
2017-01-01,2924994000000.0
2018-01-01,3131166000000.0
2019-01-01,3117235000000.0
2020-01-01,2776115000000.0
2021-01-01,3401361000000.0
