date,value
1991-01-01,6.8
1992-01-01,7.5
1993-01-01,6.9
1994-01-01,6.12
1995-01-01,5.65
1996-01-01,5.45
1997-01-01,5.0
1998-01-01,4.51
1999-01-01,4.22
2000-01-01,3.99
2001-01-01,4.73
2002-01-01,5.78
2003-01-01,5.99
2004-01-01,5.53
2005-01-01,5.08
2006-01-01,4.62
2007-01-01,4.62
2008-01-01,5.78
2009-01-01,9.25
2010-01-01,9.63
2011-01-01,8.95
2012-01-01,8.07
2013-01-01,7.37
2014-01-01,6.17
2015-01-01,5.28
2016-01-01,4.87
2017-01-01,4.36
2018-01-01,3.9
2019-01-01,3.67
2020-01-01,8.05
2021-01-01,5.35
2022-01-01,3.611
