date,value
1986-01-01,1744152761.168
1987-01-01,2200010145.483
1988-01-01,1003045229.325
1989-01-01,1500912820.219
1990-01-01,2332325664.646
1991-01-01,2971976968.92
1992-01-01,3428344546.967
1993-01-01,3785936655.433
1994-01-01,5539525589.302
1995-01-01,6804127645.681
1996-01-01,10077135261.321
1997-01-01,11570361483.055
1998-01-01,12203044875.113
1999-01-01,14332147613.236
2000-01-01,16808688578.356
2001-01-01,17997102361.551
2002-01-01,19193787586.95
2003-01-01,22415697835.474
2004-01-01,27134530700.559
2005-01-01,36712091515.288
2006-01-01,44944777029.245
2007-01-01,54591007520.898
2008-01-01,69724976613.658
2009-01-01,66374595299.369
2010-01-01,79747480020.595
2011-01-01,105593919964.895
2012-01-01,124149068561.552
2013-01-01,142758439655.893
2014-01-01,162478896349.537
2015-01-01,174473995760.124
2016-01-01,190526867619.221
2017-01-01,230041804338.114
2018-01-01,261802606400.747
2019-01-01,284737396462.582
2020-01-01,292479897875.917
2021-01-01,341575805747.425
