date,value
1984-01-01,34363461871.387
1985-01-01,35671285632.778
1986-01-01,36666261797.554
1987-01-01,37980186154.005
1988-01-01,39930473145.9
1989-01-01,42871157989.348
1990-01-01,45057980663.662
1991-01-01,47743816570.207
1992-01-01,51871769609.87
1993-01-01,56059237857.559
1994-01-01,61014303213.844
1995-01-01,66835360715.818
1996-01-01,73077795100.182
1997-01-01,79035158446.819
1998-01-01,83591104956.344
1999-01-01,87581398975.863
2000-01-01,93525825639.106
2001-01-01,99317780239.924
2002-01-01,105595479337.864
2003-01-01,112880578501.787
2004-01-01,121387722398.683
2005-01-01,130549154518.548
2006-01-01,139658815528.085
2007-01-01,149615797043.407
2008-01-01,158086701163.069
2009-01-01,166620059320.595
2010-01-01,177322462648.35
2011-01-01,188694467261.171
2012-01-01,199081240293.607
2013-01-01,210137217460.653
2014-01-01,223632747882.053
2015-01-01,239258340825.533
2016-01-01,255264745870.371
2017-01-01,272980598575.506
2018-01-01,293358576393.691
2019-01-01,314947658367.676
2020-01-01,323972206194.572
2021-01-01,332270919943.164
2022-01-01,358918378057.646
