date,value
1985-01-01,3.806
1986-01-01,2.789
1987-01-01,3.583
1988-01-01,5.135
1989-01-01,7.365
1990-01-01,5.101
1991-01-01,5.961
1992-01-01,8.646
1993-01-01,8.073
1994-01-01,8.839
1995-01-01,9.54
1996-01-01,9.34
1997-01-01,8.152
1998-01-01,5.764
1999-01-01,4.774
2000-01-01,6.787
2001-01-01,6.193
2002-01-01,6.321
2003-01-01,6.899
2004-01-01,7.536
2005-01-01,7.547
2006-01-01,6.978
2007-01-01,7.13
2008-01-01,5.662
2009-01-01,5.398
2010-01-01,6.423
2011-01-01,6.413
2012-01-01,5.505
2013-01-01,5.554
2014-01-01,6.422
2015-01-01,6.987
2016-01-01,6.69
2017-01-01,6.94
2018-01-01,7.465
2019-01-01,7.359
2020-01-01,2.865
2021-01-01,2.562
2022-01-01,8.02
