date,value
1960-01-01,32718461.0
1961-01-01,33621982.0
1962-01-01,34533889.0
1963-01-01,35526727.0
1964-01-01,36509166.0
1965-01-01,37466077.0
1966-01-01,38388210.0
1967-01-01,39282564.0
1968-01-01,40145287.0
1969-01-01,41015865.0
1970-01-01,41928849.0
1971-01-01,42916624.0
1972-01-01,43906019.0
1973-01-01,44891281.0
1974-01-01,45898698.0
1975-01-01,46969616.0
1976-01-01,48163573.0
1977-01-01,49418150.0
1978-01-01,50701458.0
1979-01-01,51831389.0
1980-01-01,52968270.0
1981-01-01,54280394.0
1982-01-01,55632153.0
1983-01-01,57011444.0
1984-01-01,58406863.0
1985-01-01,59811313.0
1986-01-01,61221107.0
1987-01-01,62630787.0
1988-01-01,64037514.0
1989-01-01,65466361.0
1990-01-01,66912613.0
1991-01-01,68358820.0
1992-01-01,69788747.0
1993-01-01,71176405.0
1994-01-01,72501087.0
1995-01-01,73759110.0
1996-01-01,74946448.0
1997-01-01,76058603.0
1998-01-01,77128424.0
1999-01-01,78123713.0
2000-01-01,79001142.0
2001-01-01,79817777.0
2002-01-01,80642308.0
2003-01-01,81475825.0
2004-01-01,82311227.0
2005-01-01,83142095.0
2006-01-01,83951800.0
2007-01-01,84762269.0
2008-01-01,85597241.0
2009-01-01,86482923.0
2010-01-01,87411012.0
2011-01-01,88349117.0
2012-01-01,89301326.0
2013-01-01,90267739.0
2014-01-01,91235504.0
2015-01-01,92191398.0
2016-01-01,93126529.0
2017-01-01,94033048.0
2018-01-01,94914330.0
2019-01-01,95776716.0
2020-01-01,96648685.0
2021-01-01,97468029.0
2022-01-01,98186856.0
